Observations: differences from average, differences normalized by SD;  Lat, Lon, surface parameters
variable count, bins per route, route count  (xdim, ydim, zdim with line count = ydim*zdim)
      14      20       8
        Tdev         Tsd       RHdev        RHsd       DPdev        DPsd         lat         lon        ndvi      albedo        area      height   elevation   water500m
     -0.0669      0.0244      0.1713      0.2631      0.6044      0.2055     40.7465    -73.9802      0.2038      0.1404      0.4486     30.6874     11.6810      0.0000
      0.1281      0.1348      0.3063      0.3945      0.5456      0.2573     40.7458    -73.9787      0.2675      0.1399      0.4789     24.9949      8.6956      0.0000
      0.1687      0.1929      0.3787      0.4890      0.7181      0.2963     40.7451    -73.9771      0.2044      0.1366      0.3604     22.3844      7.4720      0.0431
     -0.0900     -0.0070      0.0719      0.2120      0.6544      0.2532     40.7445    -73.9755      0.1150      0.1308      0.1590     44.0687      4.8489      0.1746
     -0.2069     -0.1991      0.2794      0.3842      1.6988      0.5875     40.7437    -73.9736      0.1150      0.1308      0.1590     44.0687      2.5602      0.3107
      0.2444      0.2354     -0.3888     -0.4278     -1.9775     -0.3356     40.7416    -74.0073      0.1439      0.1518      0.4311     23.0370      3.3071      0.3628
     -0.0244     -0.0435     -0.5600     -0.6319     -1.7325     -0.3965     40.7409    -74.0056      0.1617      0.1538      0.5285     30.3316      4.4972      0.1995
      0.0962      0.1195     -0.3531     -0.3197     -1.4712     -0.3134     40.7402    -74.0040      0.1617      0.1538      0.5285     30.3316      5.7443      0.0249
      0.2131      0.1916     -0.2562     -0.2628     -1.4350     -0.3607     40.7395    -74.0023      0.1515      0.1552      0.5931     22.9608      7.2537      0.0000
      0.0644      0.0358     -0.2850     -0.2803     -1.0819     -0.2042     40.7388    -74.0006      0.1140      0.1534      0.6567     23.4720      8.0052      0.0000
      0.1969      0.2076      0.0113      0.0322     -0.6388     -0.1443     40.7382    -73.9990      0.1350      0.1531      0.5446     24.7976      8.6236      0.0000
      0.1556      0.1641     -0.1344     -0.1392     -0.9356     -0.2865     40.7375    -73.9973      0.1520      0.1445      0.5549     27.2557      8.2912      0.0000
     -0.0500     -0.0011     -0.2556     -0.2105     -0.8406     -0.2383     40.7368    -73.9957      0.1390      0.1395      0.5882     35.2408      9.1944      0.0000
      0.1587      0.1372     -0.0931     -0.0622     -0.8713     -0.1884     40.7361    -73.9940      0.1400      0.1491      0.5944     29.1908     10.5965      0.0000
      0.3000      0.2420      0.0350      0.1406     -0.6531     -0.1374     40.7354    -73.9924      0.1839      0.1496      0.4541     31.3587     11.5649      0.0000
      0.0438      0.0762     -0.3719     -0.2787     -1.1244     -0.3539     40.7347    -73.9907      0.2225      0.1559      0.5178     33.3113     12.2640      0.0000
      0.0900      0.1092     -0.2663     -0.2209     -1.0344     -0.3044     40.7340    -73.9890      0.2225      0.1559      0.5178     33.3113     11.7980      0.0000
     -0.1594     -0.1412     -0.3256     -0.3131     -0.7262     -0.1513     40.7333    -73.9874      0.2214      0.1633      0.5338     19.3035     10.7141      0.0000
     -0.0462      0.0290     -0.1131      0.0515     -0.4013     -0.0395     40.7326    -73.9857      0.3727      0.1624      0.3150     24.6942      9.5038      0.0000
      0.0231      0.0838     -0.0931      0.0118     -0.5169     -0.0911     40.7319    -73.9840      0.3727      0.1624      0.3150     24.6942      7.6425      0.0000
     -0.1763     -0.1260     -0.1594     -0.1068     -0.1887      0.0013     40.7312    -73.9824      0.5311      0.1723      0.2611     29.1536      5.9482      0.0000
     -0.1788     -0.1107     -0.0513      0.0789      0.1425      0.1065     40.7305    -73.9807      0.3049      0.1665      0.3187     18.3012      4.7516      0.0181
     -0.1994     -0.1812      0.0881      0.1630      0.4994      0.2188     40.7298    -73.9791      0.3049      0.1665      0.3187     18.3012      3.8684      0.0907
      0.2013      0.1995      0.1275      0.2225     -0.2075     -0.0067     40.7291    -73.9774      0.1925      0.1545      0.2118     24.3134      2.7162      0.2290
      0.0550      0.1042      0.0813      0.1508      0.0200      0.0502     40.7282    -73.9752      0.0421      0.1260      0.2312     27.6606      2.6640      0.3968
     -0.4286     -0.3700      0.0229      0.0061      0.6629      0.3021     40.7289    -74.0093      0.1542      0.1433      0.4542     31.1560      2.8243      0.3991
     -0.2614     -0.2724     -0.4493     -0.4313     -0.7521     -0.1384     40.7287    -74.0074      0.2027      0.1444      0.4751     19.8581      4.2847      0.2086
     -0.1129     -0.1347     -0.5743     -0.4384     -1.1793     -0.2342     40.7285    -74.0054      0.1709      0.1561      0.4806     16.8648      5.4431      0.0204
      0.0579      0.0187     -0.3500     -0.1580     -0.8821     -0.1266     40.7283    -74.0035      0.2120      0.1576      0.3600     24.1969      6.3845      0.0000
      0.3643      0.3119     -0.2707     -0.0695     -1.4350     -0.3379     40.7277    -74.0019      0.2120      0.1576      0.3600     24.1969      6.8190      0.0000
      0.5129      0.4865     -0.3307     -0.1477     -1.9679     -0.5125     40.7271    -74.0005      0.2501      0.1637      0.4230     27.8791      7.0059      0.0000
      0.6214      0.5576     -0.4500     -0.3006     -2.5550     -0.6549     40.7264    -73.9991      0.2501      0.1637      0.4230     27.8791      7.5328      0.0000
      0.6350      0.6461     -0.5064     -0.3484     -2.7736     -0.7217     40.7257    -73.9976      0.1609      0.1557      0.4879     34.3846     10.4388      0.0000
      0.5957      0.5643     -0.4471     -0.3273     -2.5950     -0.6731     40.7250    -73.9961      0.1609      0.1557      0.4879     34.3846     11.9294      0.0000
