Observations: differences from average, differences normalized by SD;  Lat, Lon, surface parameters
variable count, bins per route, route count  (xdim, ydim, zdim with line count = ydim*zdim)
          16      20.0000      8.00000
       Tdiff        Tdev      RHdiff       RHdev      DPdiff       DPdev         lat         lon        NDVI   greenness      albedo  brightness   Bareafrac     Bheight   elevation   water500m
      0.7250      0.5798     -0.0829      0.0242     -1.4100     -0.4382     40.7223    -73.9872      0.1853     -0.0917      0.1508      0.3369      0.6560     29.6799      9.8706      0.0000
      0.4143      0.2933     -0.3093     -0.1676     -1.2886     -0.3947     40.7217    -73.9854      0.2616     -0.0827      0.1529      0.3380      0.6371     22.3488      8.1933      0.0000
      0.7079      0.5955      0.1029      0.2408     -0.9021     -0.2685     40.7212    -73.9836      0.2351     -0.0805      0.1410      0.3126      0.6409     20.8017      6.9726      0.0000
      0.6971      0.6103     -0.0636      0.1009     -1.1471     -0.3452     40.7206    -73.9819      0.2965     -0.0715      0.1522      0.3359      0.7130     21.4087      5.5587      0.0000
      0.4600      0.3238     -0.1486      0.0047     -0.7221     -0.2302     40.7201    -73.9801      0.4103     -0.0333      0.1280      0.2800      0.6257     22.9649      4.6499      0.0476
      0.2893      0.2317     -0.2714      0.0076     -0.7679     -0.1956     40.7195    -73.9784      0.4220     -0.0392      0.1328      0.2883      0.6386     20.5269      3.1984      0.2132
      0.0214     -0.0125     -0.1214      0.0744      0.2486      0.0077     40.7179    -73.9779      0.3678     -0.0479      0.1304      0.2885      0.1078     60.6212      2.9035      0.3084
     -0.5327     -0.4267      0.3860      0.2832      1.9667      0.6530     40.7173    -74.0150      0.3958     -0.0482      0.1041      0.2280      0.6875     73.7343      0.5778      0.7007
      0.2300      0.2406      0.5173      0.4740      0.6720      0.2387     40.7166    -74.0133      0.2882     -0.0656      0.1108      0.2419      0.3544     66.4085      1.4165      0.5442
      0.2773      0.2535      0.1820      0.1929     -0.0707      0.0064     40.7159    -74.0117      0.2791     -0.0686      0.1532      0.3393      0.7154     27.4759      2.6611      0.3764
      0.3720      0.3946      0.4333      0.4611      0.3680      0.0956     40.7152    -74.0100      0.1802     -0.0848      0.1201      0.2649      0.8350     22.5985      6.0433      0.1723
      0.5453      0.5908      0.4387      0.4934      0.0247     -0.0289     40.7145    -74.0084      0.2146     -0.0777      0.1113      0.2462      0.8428     23.9688      9.4000      0.0317
      0.5593      0.5800      0.4867      0.5149      0.1813      0.0030     40.7138    -74.0067      0.2221     -0.0738      0.1406      0.3135      0.7792     43.1208     10.3609      0.0023
     -0.0067      0.0770      0.1553      0.1887      0.5793      0.1647     40.7129    -74.0054      0.4028     -0.0431      0.1008      0.2179      0.5414     23.2965     10.2943      0.0136
      0.0547      0.0998      0.3920      0.3927      1.0213      0.2418     40.7122    -74.0057      0.4517     -0.0176      0.1443      0.3109      0.2070      9.2688     10.4463      0.0227
     -0.1220     -0.0701      0.3027      0.3625      1.2267      0.3221     40.7116    -74.0049      0.3446     -0.0486      0.1451      0.3182      0.1898     46.6365      8.5506      0.0635
     -0.1853     -0.0908      0.3133      0.4250      1.4753      0.3636     40.7106    -74.0034      0.2388     -0.0771      0.1528      0.3421      0.3868     61.0625      3.9095      0.1723
     -0.5800     -0.4370      0.4507      0.4399      2.4993      0.7140     40.7097    -74.0021      0.2126     -0.0806      0.1496      0.3341      0.7229     38.1518      1.9890      0.2971
